,10043,00083,10001,10002,10003,10004,10005,10007,10009,10010,10011,10012,10013,10014,10016,10017,10018,10019,10021,10022,10023,10024,10025,10026,10027,10028,10029,10035,10036,10038,10065,10069,10075,10115,10128,10280,10281,10282,11101,11102,11103,11105,11106,11109,11201,11205,11206,11211,11215,11216,11217,11221,11222,11225,11231,11232,11233,11238,11249,11251
9,61.0,528.0,1861.0,1134.0,1908.0,207.0,254.0,453.0,1116.0,874.0,1555.0,767.0,785.0,1029.0,1367.0,1327.0,820.0,1580.0,259.0,640.0,634.0,452.0,288.0,90.0,139.0,213.0,292.0,91.0,1146.0,258.0,362.0,39.0,148.0,9.0,231.0,117.0,118.0,92.0,246.0,82.0,27.0,50.0,105.0,15.0,1082.0,333.0,134.0,412.0,361.0,175.0,500.0,52.0,376.0,31.0,294.0,13.0,14.0,319.0,341.0,46.0
10,75.0,678.0,2188.0,1284.0,2357.0,275.0,328.0,559.0,1204.0,1054.0,1955.0,927.0,917.0,1279.0,1722.0,1552.0,1048.0,1838.0,297.0,837.0,813.0,581.0,372.0,106.0,196.0,263.0,343.0,111.0,1253.0,296.0,452.0,41.0,180.0,14.0,295.0,138.0,130.0,110.0,292.0,93.0,31.0,60.0,120.0,7.0,1209.0,412.0,195.0,522.0,441.0,216.0,523.0,52.0,484.0,22.0,351.0,22.0,17.0,363.0,413.0,41.0
11,47.0,373.0,1345.0,985.0,1607.0,133.0,186.0,348.0,1043.0,655.0,1315.0,584.0,618.0,876.0,1056.0,901.0,631.0,1138.0,193.0,439.0,491.0,339.0,212.0,67.0,122.0,160.0,221.0,65.0,910.0,198.0,293.0,28.0,102.0,5.0,182.0,83.0,70.0,64.0,191.0,55.0,28.0,33.0,86.0,9.0,817.0,326.0,147.0,332.0,320.0,152.0,344.0,58.0,376.0,16.0,272.0,12.0,10.0,281.0,271.0,33.0
12,15.0,380.0,666.0,1101.0,1481.0,65.0,66.0,220.0,933.0,441.0,1151.0,569.0,498.0,801.0,634.0,260.0,238.0,614.0,163.0,227.0,471.0,323.0,310.0,75.0,120.0,195.0,188.0,47.0,491.0,153.0,190.0,27.0,114.0,2.0,170.0,67.0,50.0,28.0,197.0,76.0,36.0,62.0,107.0,7.0,737.0,261.0,131.0,380.0,345.0,167.0,351.0,42.0,372.0,23.0,276.0,2.0,11.0,349.0,264.0,20.0
13,15.0,252.0,477.0,731.0,1044.0,46.0,38.0,149.0,589.0,246.0,822.0,388.0,330.0,512.0,458.0,143.0,163.0,450.0,126.0,156.0,344.0,271.0,210.0,60.0,87.0,125.0,154.0,30.0,307.0,109.0,128.0,27.0,79.0,2.0,128.0,68.0,34.0,23.0,91.0,46.0,28.0,30.0,73.0,6.0,578.0,184.0,85.0,335.0,264.0,124.0,281.0,31.0,231.0,22.0,211.0,5.0,5.0,253.0,192.0,9.0
14,14.0,354.0,978.0,845.0,1376.0,73.0,102.0,225.0,648.0,450.0,1222.0,529.0,460.0,686.0,711.0,514.0,426.0,797.0,164.0,322.0,477.0,330.0,249.0,88.0,93.0,172.0,175.0,44.0,566.0,128.0,245.0,24.0,97.0,6.0,187.0,63.0,64.0,30.0,160.0,55.0,38.0,30.0,113.0,6.0,740.0,232.0,109.0,312.0,360.0,131.0,312.0,24.0,284.0,20.0,268.0,10.0,6.0,229.0,237.0,27.0
15,66.0,609.0,1932.0,1100.0,2142.0,240.0,304.0,512.0,875.0,1026.0,1891.0,872.0,854.0,1116.0,1453.0,1366.0,779.0,1639.0,291.0,714.0,709.0,471.0,379.0,95.0,192.0,271.0,294.0,122.0,1094.0,294.0,389.0,32.0,145.0,11.0,278.0,113.0,107.0,104.0,265.0,93.0,37.0,47.0,119.0,9.0,1179.0,333.0,144.0,427.0,419.0,184.0,551.0,53.0,377.0,23.0,367.0,11.0,13.0,341.0,364.0,37.0
16,59.0,252.0,1161.0,848.0,1436.0,143.0,171.0,336.0,852.0,598.0,1137.0,524.0,554.0,730.0,833.0,708.0,578.0,906.0,155.0,342.0,434.0,233.0,190.0,52.0,103.0,161.0,188.0,86.0,668.0,157.0,263.0,10.0,71.0,9.0,143.0,55.0,66.0,53.0,188.0,54.0,21.0,28.0,79.0,5.0,782.0,289.0,107.0,291.0,238.0,134.0,325.0,52.0,332.0,19.0,236.0,9.0,9.0,246.0,272.0,29.0
17,56.0,455.0,1737.0,1163.0,1886.0,208.0,232.0,431.0,1184.0,901.0,1716.0,740.0,728.0,973.0,1283.0,1270.0,777.0,1442.0,282.0,609.0,622.0,457.0,311.0,78.0,164.0,225.0,270.0,101.0,1026.0,257.0,332.0,31.0,145.0,12.0,238.0,108.0,99.0,86.0,236.0,76.0,32.0,42.0,114.0,8.0,1087.0,362.0,139.0,401.0,363.0,165.0,474.0,44.0,429.0,25.0,325.0,12.0,11.0,293.0,357.0,32.0
18,59.0,540.0,1858.0,1255.0,2098.0,203.0,282.0,512.0,1170.0,919.0,1859.0,854.0,813.0,1110.0,1413.0,1334.0,835.0,1689.0,270.0,663.0,735.0,514.0,369.0,96.0,185.0,258.0,304.0,92.0,1210.0,295.0,411.0,35.0,157.0,7.0,262.0,114.0,101.0,108.0,309.0,83.0,29.0,54.0,115.0,11.0,1223.0,326.0,172.0,463.0,374.0,174.0,505.0,51.0,468.0,33.0,387.0,27.0,6.0,322.0,367.0,37.0
19,52.0,628.0,1061.0,1574.0,2205.0,123.0,126.0,350.0,1280.0,618.0,1842.0,905.0,806.0,1298.0,956.0,413.0,457.0,1330.0,299.0,466.0,880.0,730.0,443.0,141.0,202.0,314.0,298.0,62.0,837.0,218.0,370.0,38.0,174.0,7.0,309.0,141.0,82.0,56.0,330.0,109.0,67.0,90.0,173.0,9.0,1172.0,367.0,184.0,627.0,492.0,191.0,491.0,71.0,563.0,51.0,432.0,10.0,17.0,451.0,481.0,38.0
20,79.0,971.0,1057.0,1406.0,2167.0,143.0,140.0,362.0,1181.0,606.0,1963.0,870.0,772.0,1252.0,801.0,360.0,362.0,1162.0,284.0,368.0,847.0,657.0,493.0,162.0,230.0,291.0,305.0,74.0,615.0,192.0,301.0,51.0,182.0,11.0,264.0,117.0,108.0,76.0,325.0,81.0,57.0,77.0,181.0,16.0,1165.0,361.0,189.0,632.0,600.0,262.0,595.0,49.0,473.0,51.0,443.0,4.0,16.0,472.0,542.0,35.0
21,73.0,777.0,2339.0,1327.0,2720.0,304.0,377.0,683.0,1288.0,1139.0,2347.0,1138.0,1102.0,1367.0,1690.0,1641.0,908.0,1981.0,400.0,794.0,914.0,613.0,404.0,125.0,220.0,316.0,362.0,122.0,1221.0,337.0,463.0,41.0,169.0,11.0,304.0,127.0,152.0,158.0,325.0,91.0,42.0,54.0,162.0,11.0,1473.0,447.0,184.0,546.0,479.0,205.0,576.0,43.0,427.0,33.0,432.0,23.0,7.0,370.0,419.0,50.0
22,63.0,516.0,1684.0,1219.0,2307.0,212.0,235.0,477.0,1215.0,838.0,1887.0,903.0,878.0,1101.0,1265.0,1059.0,729.0,1356.0,261.0,525.0,647.0,435.0,344.0,109.0,193.0,203.0,280.0,93.0,973.0,253.0,350.0,26.0,108.0,15.0,228.0,128.0,91.0,107.0,295.0,88.0,29.0,48.0,115.0,8.0,1245.0,387.0,185.0,454.0,399.0,172.0,495.0,57.0,399.0,20.0,359.0,14.0,9.0,305.0,354.0,42.0
23,75.0,725.0,2211.0,1456.0,2700.0,212.0,382.0,576.0,1468.0,1104.0,2194.0,1095.0,912.0,1211.0,1698.0,1701.0,935.0,1811.0,371.0,839.0,844.0,610.0,451.0,131.0,237.0,302.0,355.0,126.0,1370.0,291.0,434.0,46.0,192.0,16.0,285.0,121.0,124.0,104.0,305.0,99.0,51.0,62.0,155.0,16.0,1371.0,436.0,199.0,505.0,442.0,216.0,577.0,67.0,506.0,36.0,416.0,25.0,11.0,398.0,414.0,55.0
24,46.0,675.0,1968.0,1306.0,2424.0,199.0,310.0,518.0,1209.0,938.0,1827.0,892.0,834.0,1061.0,1498.0,1491.0,860.0,1667.0,287.0,713.0,600.0,472.0,398.0,111.0,171.0,251.0,297.0,109.0,1181.0,254.0,381.0,47.0,164.0,15.0,258.0,100.0,88.0,96.0,246.0,103.0,28.0,66.0,134.0,11.0,1165.0,416.0,164.0,400.0,440.0,164.0,485.0,51.0,429.0,19.0,354.0,8.0,3.0,358.0,346.0,41.0
25,45.0,714.0,1950.0,1328.0,2353.0,209.0,321.0,507.0,1356.0,971.0,2086.0,915.0,952.0,1197.0,1566.0,1431.0,907.0,1788.0,344.0,704.0,766.0,572.0,375.0,113.0,199.0,262.0,328.0,107.0,1249.0,307.0,409.0,39.0,164.0,15.0,274.0,116.0,120.0,108.0,284.0,92.0,33.0,69.0,140.0,13.0,1239.0,426.0,178.0,456.0,483.0,189.0,530.0,61.0,434.0,38.0,400.0,17.0,9.0,377.0,396.0,39.0
26,50.0,1449.0,1080.0,1720.0,2658.0,179.0,182.0,483.0,1595.0,702.0,2194.0,1072.0,953.0,1534.0,1054.0,465.0,571.0,1531.0,297.0,452.0,995.0,865.0,562.0,199.0,246.0,293.0,321.0,84.0,872.0,297.0,337.0,42.0,184.0,12.0,318.0,144.0,103.0,63.0,411.0,122.0,74.0,91.0,203.0,9.0,1565.0,455.0,235.0,765.0,727.0,275.0,627.0,59.0,593.0,65.0,601.0,17.0,27.0,599.0,621.0,52.0
27,34.0,520.0,675.0,1049.0,1717.0,91.0,91.0,232.0,1008.0,487.0,1375.0,688.0,604.0,880.0,688.0,279.0,370.0,820.0,182.0,286.0,545.0,440.0,386.0,114.0,153.0,203.0,189.0,44.0,520.0,165.0,198.0,37.0,113.0,4.0,178.0,85.0,58.0,39.0,222.0,72.0,45.0,43.0,141.0,9.0,794.0,244.0,144.0,441.0,405.0,171.0,431.0,37.0,378.0,36.0,294.0,7.0,6.0,312.0,298.0,24.0
